EPIC,Task,Description,Hour
,"Data access logs","","6"
,"Error reporting","(LMS sync errors, OCR failures, AI grading errors)","8"

"Audit log - School"
,"Add audit log","","32"
,"List Audit logs","","6"
,"View log details","","8"

"School Level Analytics - School"
,"Performace views","","16"
,"Teacher analytics","","16"
,"Cohort comparisons","","16"

"Integration Management - School"
,"Toggle integrations","","8"
,"View integrations","","8"

"Card Payment Setup - School"
,"Remove credit card details","","4"
,"Set a primary (default) card for payments","","4"
,"View list of saved cards","","12"
,"Add credit card details","","16"
,"Update credit card details","","8"

"Transactions"
,"View full transaction history","","12"
,"See detailed information for each transaction","","8"
,"Filter or search transactions by date, type, or keyword","","6"
,"Download transaction records as PDF files","","8"

"Deployment"
,"Deployment","","8"


"API"

"Project Configuration"
,"Set up project structure and tools","","8"

"Database Design"
,"Database scheme design","","40"
,"Database implementation","","16"

"CMS Pages"
,"Load CMS pages within the app using in-app browser","","4"
,"Show key pages like Terms & Conditions and Privacy Policy","Terms & Conditions and Privacy Policy","6"
,"Configure settings for individual CMS pages","","8"
,"Manage and update pages from the admin panel","","8"

"Authentication"
,"Signup with Email","","8"
,"Signup with Google","","4"
,"Login with email","","4"
,"Login with Google","","4"
,"Reset password","","4"
,"Forgot passowrd","","4"
,"OTP verification","","8"
,"Resend OTP","","4"
,"Mobile verfication","","8"
,"Email verfication","","6"
,"Manage app features depending on the user’s role","","14"
,"MFA","","16"

"Profile Setup"
,"Setup user profile","","8"
,"Setup preference details","","6"

"My Profile"
,"View profile","","8"
,"Update profile","with pictures, email, mobile number","8"
,"Settings","notification/privacy","6"
,"Update email","","4"
,"Update mobile number","","6"
,"Change password","","4"
,"Logout","","2"
,"Delete account","","6"
,"Update preferences","","8"

"Email Notification"
,"Set up email notifications","","12"
,"Sending email notifications","","20"
,"Manage email template","Create, Edit, View, Delete","12"

"Notification"
,"Display in-app notification list","","8"
,"Manage read/unread status of notifications","","8"
,"Route users based on notification type","","8"
,"Handle receiving and sending push notifications","","16"

"Elastic Search"
,"setup elastic search","","16"
,"fetch result from elastic search","","40"
,"Index search item","","32"

"Dashboard - Teacher"
,"My Classes Cards","","12"
,"Recent Assignments List","","8"
,"Class Overview Page details","","8"
,"Metrics cards","","12"
,"Class Assignments table","","12"
,"Export Class Data","Create and export CSV file","6"

"Rubric Management - Teacher"
,"Upload Rubrics","Covered by Upload file system","8"
,"Fetch Rubric Library","Table and columns view","8"
,"Clone Rubric Stock","","4"
,"Rubric Creator  (AI)","Submit rubric text with instructions","6"
,"Edit Rubric","","8"
,"Delete Rubric","Soft or hard delete","4"
,"Filters & Search","","6"
,"Rubric Editor","","8"

"File Upload System - Teacher"
,"Upload file","PDF, DOCX, PNG, JPG, TXT","16"
,"Download File","","8"
,"Delete file","","4"

"Assignment Types & Marking Flows - Teacher"
,"Extended Response (Essays & Long-Form Tasks)","","6"
,"Generated and display AI feedbacks","per assignments, score, feedbacks","16"
,"Extract student answer and mapping","","6"
,"Fed data to AI engine","title, due data, class, questions and other metadata","14"
,"Analytics Mapping","","6"
,"Short Answer scoring","","6"
,"Generate AI score and feedback for short answer","For each question, determine correctness against a marking guide or rubric, assign a score, generate short inline feedback, and optionally highlight key phrases.","8"
,"Teacher capabilities for Short answer","Adjust scores per question, edit feedback, add comments, and regenerate feedback for specific answers.","8"
,"Multiple Choice (MCQ) scoring","","6"
,"Question setup for MCQ","","12"
,"Teacher Capabilities for MCQ","Edit explanations, adjust scores, and override correct answers where ambiguity exists.","14"
,"Generate AI score for MCQ","","8"
,"Student responses for MCQ","","6"
,"Edit Assignment","","6"

"Settings & Class Management - Teacher"
,"Account View","","6"
,"Class List View","","8"
,"Class Details view","","6"
,"Enable/Disable Plagiarism Checker","","2"

"Grading Defaults & Style Guide - Teacher"
,"Set Default grading mode","Feedback only or Score only","4"
,"Feedback detail preferences","","8"
,"Mark uploaded essays","","2"
,"Style Guide","","24"

"OCR Integration - Teacher"
,"Field mapping","Map OCR results to structured test result objects","24"
,"Fetching data to AI","","8"
,"Retrieving data from AI","","8"

"Marking Review & Individual Results - Teacher"
,"Class Results (Per Assignment)","","6"
,"Export results","","8"
,"Individual Results (Per Student)","","6"
,"Edit/delete AI comments","","6"
,"Add new comments","","6"
,"List Results","","6"
,"Search and Filter Results","","6"

"Student Analytics - Teacher"
,"Overall score trend","Line chart of total scores over time","8"
,"Student Progress Ai Summary","","12"
,"Key strengths and weaknesses","Aggregated list","6"
,"Answer quality indicators","","2"
,"Misconception tracker","","2"
,"Private teacher notes","","2"
,"Show Student profile PDF","","6"

"Class Analytics - Teacher"
,"Grade distribution graph","score distribution vs class average","8"
,"Overall class trend graph","Average scores over time","6"
,"AI-generated class summary","","12"
,"View and show PDF report","","6"
,"Class strengths and weaknesses","","2"
,"Student performance overview table","","6"

"Google Classroom Integration"
,"Configure and setup google Classroom API","","8"
,"Google OAuth & Teacher Account Linking","","6"
,"Permission Enforcement & Guardrails","","6"
,"Teacher Account Mapping","","8"
,"Grade Push-Back to Google Classroom","","8"
,"Fetch & Display Classroom Classes","","6"
,"Class Import & Mapping","","6"
,"Fetch GC assignments per class","","8"
,"Ongoing Sync Logic","Periodic or on-demand sync","6"
,"Assignment Discovery & Selection","Fetch GC assignments per class","6"

"Canvas Integration"
,"Configure and setup google Canvas API","","6"
,"Permission & Access Guardrails","","4"
,"LTI Authentication & Secure Launch","","8"
,"Teacher & Course Identity Mapping","","6"
,"Course ↔ Class Alignment","Detect unlinked Canvas course on first launch, Persist Canvas Course ID","8"
,"Initial Roster Import","","6"
,"Manual & Incremental Sync","","6"
